sku,name,slug,type,status,regular_price,sale_price,department,category_l1,category_l2,description,short_description,materials,finishes,dimensions,lead_time,minimum_order_qty,cad_drawing_url,image_urls,catalog_only_mode
BALA-6016,Bala Bed,bala-bed,simple,publish,,,Furniture,Beds,Beds,"Solid acacia bed frame with panelled headboard and footboard and slatted base. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 220cm W x 168cm D x 104cm H.",Solid acacia bed frame with panelled headboard and footboard and slatted base.,Acacia,Desert,220cm W x 168cm D x 104cm H,,1,,bala-bed_1.webp,1
SHORA-4295,Shora Double Bed,shora-double-bed,simple,publish,,,Furniture,Beds,Beds,"Double bed in chunky solid acacia with low panelled headboard and slatted base. Crafted in Acacia, Lime finish finish. From the Shora collection.",Double bed in chunky solid acacia with low panelled headboard and slatted base.,Acacia,Lime finish,,,1,,"shora-double-bed_1.webp,shora-double-bed_2.webp",1
SHORA-4294,Shora Single Bed,shora-single-bed,simple,publish,,,Furniture,Beds,Beds,"Single bed in chunky solid acacia with low panelled headboard and slatted base. Crafted in Acacia, Lime finish finish. From the Shora collection.",Single bed in chunky solid acacia with low panelled headboard and slatted base.,Acacia,Lime finish,,,1,,"shora-single-bed_1.webp,shora-single-bed_2.webp",1
BALA-6027,Bala Wine Rack,bala-wine-rack,simple,publish,,,Furniture,Cabinets,Bar Cabinets,"Tall wine rack cabinet with bottle cubbies over drawer and door. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 52cm W x 37cm D x 125cm H.",Tall wine rack cabinet with bottle cubbies over drawer and door.,Acacia,Desert,52cm W x 37cm D x 125cm H,,1,,bala-wine-rack_1.webp,1
PAWAN-3999,Pawan Bar,pawan-bar,simple,publish,,,Furniture,Cabinets,Bar Cabinets,"Bar cabinet with glazed doors opening to bottle racks, glass holders and drawers. Crafted in Mango, Colonial finish. From the Pawan collection. Dimensions: 103cm W x 38cm D x 123cm H.","Bar cabinet with glazed doors opening to bottle racks, glass holders and drawers.",Mango,Colonial,103cm W x 38cm D x 123cm H,,1,,"pawan-bar_1.webp,pawan-bar_2.webp,pawan-bar_3.webp,pawan-bar_4.webp,pawan-bar_5.webp",1
PAWAN-BAR-NOCODE,Pawan Bar Cabinet (Dimple Range),pawan-bar-cabinet-dimple-range,simple,draft,,,Furniture,Cabinets,Bar Cabinets,"Tapered tall bar cabinet with glass door, bottle rack and dimple-carved drawer front. Crafted in Solid Wood, Brushed Steel, Dark Walnut Brown finish. From the Pawan collection.","Tapered tall bar cabinet with glass door, bottle rack and dimple-carved drawer front.","Solid Wood, Brushed Steel",Dark Walnut Brown,,,1,,pawan-bar-cabinet-dimple-range_1.webp,1
PAWAN-4006,Pawan Folding Bar,pawan-folding-bar,simple,publish,,,Furniture,Cabinets,Bar Cabinets,"Folding bar cabinet with glazed doors that open out to reveal bottle racks and shelves. Crafted in Mango, Colonial finish. From the Pawan collection. Dimensions: 90cm W x 48.5cm D x 123cm H.",Folding bar cabinet with glazed doors that open out to reveal bottle racks and shelves.,Mango,Colonial,90cm W x 48.5cm D x 123cm H,,1,,"pawan-folding-bar_1.webp,pawan-folding-bar_2.webp,pawan-folding-bar_3.webp,pawan-folding-bar_4.webp",1
PLUTO-6110,Pluto Bar,pluto-bar,simple,publish,,,Furniture,Cabinets,Bar Cabinets,"Tall two-door glazed bar cabinet in dark acacia. Crafted in Acacia, Max finish. From the Pluto collection. Dimensions: 103cm W x 28cm D x 122cm H.",Tall two-door glazed bar cabinet in dark acacia.,Acacia,Max,103cm W x 28cm D x 122cm H,,1,,pluto-bar_1.webp,1
THAR-6064,Thar Bar,thar-bar,simple,publish,,,Furniture,Cabinets,Bar Cabinets,"Tall wine cabinet with nine bottle cubbies above three ribbed drawers. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 52cm W x 35cm D x 124cm H.",Tall wine cabinet with nine bottle cubbies above three ribbed drawers.,Acacia,Lime Cream,52cm W x 35cm D x 124cm H,,1,,"thar-bar_1.webp,thar-bar_2.webp",1
BALA-6012,Bala Book Shelf,bala-book-shelf,simple,publish,,,Furniture,Cabinets,Bookcases,"Tall open bookshelf in solid acacia. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 90cm W x 32cm D x 200cm H.",Tall open bookshelf in solid acacia.,Acacia,Desert,90cm W x 32cm D x 200cm H,,1,,bala-book-shelf_1.webp,1
