sku,name,slug,type,status,regular_price,sale_price,department,category_l1,category_l2,description,short_description,materials,finishes,dimensions,lead_time,minimum_order_qty,cad_drawing_url,image_urls,catalog_only_mode
OEC-TBL-001,Jodhpur Hand-Carved Solid Sheesham Dining Table,jodhpur-hand-carved-solid-sheesham-dining-table,simple,publish,48000,42000,Furniture,Dining & Kitchen Furniture,Dining Tables,"Masterfully crafted from seasoned kiln-dried Sheesham wood with brass embossed corner accents. Designed for luxury hotel dining and high-end residential projects.",Hand-carved solid wood 6-seater dining table with brass inlay.,"Kiln-dried Solid Sheesham Wood, Brass Inlay","Honey Oak, Warm Walnut, Smoked Espresso","180cm L x 90cm W x 76cm H",3-4 Weeks,2,https://orbitexpocrafts.com/cad/OEC-TBL-001.dwg,https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf,1
OEC-CHR-002,Jaipur Vintage Leather Accent Armchair,jaipur-vintage-leather-accent-armchair,simple,publish,32000,28500,Furniture,Living Room Furniture,Armchairs & Accent Chairs,"Upholstered in top-grain distressed cognac leather with solid teak wood spindle arms and hand-stitched seams. Ideal for executive lounges and boutique living rooms.",Luxury cognac leather lounge chair with solid teak frame.,"Top-Grain Genuine Leather, Solid Teak Wood","Cognac Brown, Vintage Charcoal, Saddle Tan","78cm W x 82cm D x 85cm H",2-3 Weeks,4,https://orbitexpocrafts.com/cad/OEC-CHR-002.dwg,https://images.unsplash.com/photo-1586023492125-27b2c045efd7,1
OEC-MIR-003,Royal Jharokha Carved Wall Mirror,royal-jharokha-carved-wall-mirror,simple,publish,18500,15900,Wall Decor & Mirrors,Mirrors,Mirrors,"Authentic Rajasthan arched Jharokha window wall mirror with hand-carved floral motifs and antiqued brass latch fittings.",Traditional arched wood Jharokha wall mirror with antiqued finish.,"Reclaimed Teak Wood, 5mm Silvered Glass, Brass Fittings","Antiqued Gold Wash, Distressed White, Dark Teak","65cm W x 12cm D x 105cm H",2 Weeks,5,https://orbitexpocrafts.com/cad/OEC-MIR-003.dwg,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6,1
OEC-LGT-004,Moroccan Perforated Brass Pendant Light,moroccan-perforated-brass-pendant-light,simple,publish,14200,12500,Lighting,Ceiling Lighting,Pendant Lights,"Hand-punched solid brass dome pendant lamp casting intricate geometric shadow patterns across dining areas and entryway foyers.",Hand-punched antique brass dome pendant fixture.,"Solid Sheet Brass, Braided Textile Cable","Antique Raw Brass, Polished Nickel, Smoked Copper","45cm Dia x 50cm H",2-3 Weeks,6,https://orbitexpocrafts.com/cad/OEC-LGT-004.dwg,https://images.unsplash.com/photo-1507473885765-e6ed057f782c,1
OEC-RUG-005,Udaipur Hand-Knotted Pure Wool Area Rug,udaipur-hand-knotted-pure-wool-area-rug,simple,publish,55000,48000,Rugs & Floor Coverings,Area Rugs,Area Rugs,"Woven by master artisans in Bhadohi using 100% New Zealand wool. Features subtle washed ivory and taupe abrash tones.",Hand-knotted 8x10 ft pure wool luxury area rug.,"100% NZ Wool, Organic Cotton Warp","Washed Ivory, Natural Taupe, Indigo Slate","240cm W x 300cm L",4-5 Weeks,1,https://orbitexpocrafts.com/cad/OEC-RUG-005.dwg,https://images.unsplash.com/photo-1600121848594-d8644e57abab,1
OEC-CHB-006,Floral Bone Inlay 3-Drawer Storage Chest,floral-bone-inlay-3-drawer-storage-chest,simple,publish,62000,54000,Storage & Organization,Closet & Wardrobes,Chest of Drawers,"Ethically sourced camel bone inlay meticulously set by hand into resin-coated solid mango wood with crystal drawer knobs.",Handcrafted 3-drawer bone inlay storage chest.,"Camel Bone Inlay, Mango Wood, Resin, Brass Hardware","Black Resin Inlay, Teal Blue Inlay, White Resin","105cm W x 45cm D x 85cm H",4-5 Weeks,2,https://orbitexpocrafts.com/cad/OEC-CHB-006.dwg,https://images.unsplash.com/photo-1595428774223-ef52624120d2,1
OEC-OUT-007,Kerala Teak Wood Outdoor Lounge Sofa,kerala-teak-wood-outdoor-lounge-sofa,simple,publish,68000,59000,Outdoor & Garden,Outdoor Furniture,Outdoor Sofas,"Grade-A sustainable plantation Teak 3-seater outdoor sofa with Sunbrella weather-resistant cushions and quick-dry foam interior.",Weatherproof 3-seater outdoor teak sofa with Sunbrella fabric.,"Grade-A Plantation Teak Wood, Sunbrella Fabric, Quick-Dry Foam","Natural Teak Oil, Smoked Weathered Gray","210cm W x 85cm D x 72cm H",3-4 Weeks,2,https://orbitexpocrafts.com/cad/OEC-OUT-007.dwg,https://images.unsplash.com/photo-1604014237800-1c9102c219da,1
OEC-TAB-008,Hand-Hammered Brass & Marble Serving Tray,hand-hammered-brass-and-marble-serving-tray,simple,publish,6500,5500,Kitchen & Tabletop,Serveware & Trays,Serveware,"White Banswara marble base with hand-hammered antique brass rim handles. Perfect for luxury hotel room amenities and barware display.",White marble serving platter with brass handles.,"Banswara White Marble, Solid Brass","Natural Marble, Antiqued Brass Handles","40cm L x 25cm W x 4cm H",1-2 Weeks,10,https://orbitexpocrafts.com/cad/OEC-TAB-008.dwg,https://images.unsplash.com/photo-1578749556568-bc2c40e68b61,1
OEC-KID-009,Montessori Solid Oak Kids Study Desk,montessori-solid-oak-kids-study-desk,simple,publish,24000,21000,Kids & Baby Home,Kids Furniture,Kids Furniture,"Ergonomic kids study desk made from solid European Oak with rounded safety edges and non-toxic organic oil finish.",Solid oak kids study desk with non-toxic finish.,"100% Solid European Oak Wood","Natural Clear Matte Oil","100cm W x 55cm D x 65cm H",2-3 Weeks,4,https://orbitexpocrafts.com/cad/OEC-KID-009.dwg,https://images.unsplash.com/photo-1518455027359-f3f8164ba6bd,1
OEC-PET-010,Royal Carved Wooden Pet Bed Lounge,royal-carved-wooden-pet-bed-lounge,simple,publish,16500,14000,Pet Home,Pet Furniture,Pet Furniture,"Elevated solid mango wood frame with hand-carved turnings and washable velvet orthopedic cushion mattress.",Luxury carved wooden pet bed lounge with velvet mattress.,"Solid Mango Wood, Velvet Fabric, Memory Foam","Walnut Polish, Emerald Velvet Cushion","75cm L x 55cm W x 32cm H",2 Weeks,5,https://orbitexpocrafts.com/cad/OEC-PET-010.dwg,https://images.unsplash.com/photo-1541599540903-216a46ca1dc0,1
